Number,Message
3062,3062
5953,5953
1389,Patte
4937,4937
1101,Patte
5109,Patte
794,794
3308,3308
157,157
1911,Patte
5796,Patte
1582,1582
2900,Tatras
2171,2171
3599,3599
5397,Patte
3765,Pattatras
4321,4321
4618,4618
4398,Patte
6142,6142
2366,2366
4546,4546
2458,2458
5900,Tatras
1283,1283
3077,3077
4823,4823
3081,Patte
6328,6328
2138,2138
5167,5167
5120,Tatras
4604,4604
1600,Tatras
5045,Tatras
5131,5131
4432,4432
6239,6239
1420,Tatras
1700,Tatras
843,Patte
2675,Tatras
4703,4703
3466,3466
162,Patte
6044,6044
1501,1501
5960,Tatras
3958,3958
4194,Patte
2967,Patte
5431,5431
180,Pattatras
2955,Pattatras
4506,Patte
5085,Pattatras
5406,Patte
1159,1159
2103,Patte
5765,Tatras
4094,4094
376,376
554,554
136,136
4688,4688
3140,Tatras
3692,3692
4802,4802
927,Patte
2576,2576
4641,Patte
4342,4342
942,Patte
3869,3869
5940,Pattatras
2131,2131
4162,4162
4057,4057
1756,1756
2902,2902
2910,Pattatras
6149,6149
512,512
3654,Patte
5809,5809
2948,2948
4069,4069
5223,Patte
994,994
5833,5833
2750,Tatras
3083,3083
5153,5153
5666,5666
2698,2698
1640,Tatras
2376,Patte
2504,2504
2322,Patte
770,Tatras
2396,2396
3514,3514
4875,Pattatras
4054,4054
2230,Tatras
5958,Patte
3129,Patte
653,653
260,Tatras
416,416
899,899
5527,5527
4286,4286
6341,6341
2368,2368
5893,5893
1889,1889
4822,4822
5810,Tatras
2359,2359
388,388
2340,Pattatras
5921,5921
3660,Pattatras
3107,3107
969,Patte
5995,Tatras
1580,Tatras
4022,4022
3092,3092
3391,3391
1851,Patte
555,Pattatras
3105,Pattatras
5750,Tatras
4475,Tatras
4642,4642
5540,Tatras
1225,Tatras
432,Patte
4419,Patte
2177,2177
2159,2159
5329,5329
1273,1273
5151,Patte
2565,Pattatras
386,386
6202,6202
35,Tatras
256,256
1948,1948
1991,1991
234,Patte
1571,1571
5657,5657
3623,3623
2409,Patte
3605,Tatras
1130,Tatras
2678,2678
5348,5348
1293,Patte
1367,1367
2591,2591
457,457
2613,Patte
6050,Tatras
1463,1463
5411,5411
6008,6008
3464,3464
767,767
82,82
3828,Patte
5694,Patte
5947,5947
6335,Tatras
6369,Patte
2429,2429
4491,Patte
2612,2612
4850,Tatras
3452,3452
6225,Pattatras
1558,1558
2446,2446
2407,2407
404,404
781,781
2744,2744
5204,5204
3333,Patte
1391,1391
3254,3254
3321,Patte
6115,Tatras
6100,Tatras
1341,Patte
4495,Tatras
541,541
5181,Patte
375,Pattatras
4566,Patte
2047,2047
2707,2707
5782,5782
1220,Tatras
3497,3497
397,397
2345,Tatras
5637,Patte
1759,1759
1637,1637
1181,1181
3310,Tatras
1924,1924
4637,4637
449,449
509,509
5520,Pattatras
4712,4712
4179,Patte
1057,1057
4040,Tatras
124,124
5739,Patte
4298,4298
3931,3931
3292,3292
6244,6244
4591,4591
430,Tatras
4711,4711
4757,4757
2842,2842
2280,Pattatras
417,Patte
1073,1073
2468,2468
47,47
4617,Patte
